GroupID,GroupName,Description
62,Smart Home Devices & Accessories,"Devices and accessories for smart home automation and connectivity."
63,Travel & Luggage Accessories,"Accessories and essentials for travel, luggage, and packing."
64,Home Office Furniture & Accessories,"Furniture and accessories specifically designed for home office use."
65,Art & Craft Supplies,"Supplies for art, craft, and creative projects."
66,Garden & Outdoor Decor,"Decorative items for gardens, patios, and outdoor spaces."
67,Home Renovation & Repair Tools,"Tools and equipment for home renovation and repair projects."
68,Outdoor Cooking & BBQ Equipment,"Equipment and accessories for outdoor cooking and barbecuing."
69,Home Cleaning & Organization Supplies,"Cleaning supplies, organization products, and storage solutions for the home."
70,Electronics Accessories & Gadgets,"Accessories and gadgets for electronic devices and tech enthusiasts."
71,Garden & Outdoor Furniture,"Furniture for gardens, patios, and outdoor living spaces."
72,Home Automation & Smart Living Devices,"Devices and systems for home automation and smart living."
73,Arts & Crafts Supplies,"Supplies and materials for arts, crafts, and DIY projects."
74,Outdoor Recreation & Leisure Gear,"Gear and equipment for outdoor recreation, sports, and leisure activities."
75,Electronics & Appliances,"Electronic devices and household appliances for modern living."
76,Home Cleaning Supplies & Equipment,"Cleaning supplies, tools, and equipment for home cleaning and maintenance."
77,Office & School Supplies,"Supplies for office, school, and educational use."
78,Electronics & Technology Accessories,"Accessories for electronic devices, gadgets, and tech products."
79,Outdoor Living & Entertainment Essentials,"Essential products for outdoor living, entertainment, and relaxation."
80,Smart Home Devices & Accessories,"Devices and accessories for smart home automation and connectivity."
81,Travel & Luggage Accessories,"Accessories and essentials for travel, luggage, and packing."
82,Home Office Furniture & Accessories,"Furniture and accessories specifically designed for home office use."
83,Art & Craft Supplies,"Supplies for art, craft, and creative projects."
84,Garden & Outdoor Decor,"Decorative items for gardens, patios, and outdoor spaces."
85,Home Renovation & Repair Tools,"Tools and equipment for home renovation and repair projects."
86,Outdoor Cooking & BBQ Equipment,"Equipment and accessories for outdoor cooking and barbecuing."
87,Home Cleaning & Organization Supplies,"Cleaning supplies, organization products, and storage solutions for the home."
88,Electronics Accessories & Gadgets,"Accessories and gadgets for electronic devices and tech enthusiasts."
89,Garden & Outdoor Furniture,"Furniture for gardens, patios, and outdoor living spaces."
90,Home Automation & Smart Living Devices,"Devices and systems for home automation and smart living."
91,Arts & Crafts Supplies,"Supplies and materials for arts, crafts, and DIY projects."
92,Outdoor Recreation & Leisure Gear,"Gear and equipment for outdoor recreation, sports, and leisure activities."
93,Electronics & Appliances,"Electronic devices and household appliances for modern living."
94,Home Cleaning Supplies & Equipment,"Cleaning supplies, tools, and equipment for home cleaning and maintenance."
95,Office & School Supplies,"Supplies for office, school, and educational use."
96,Electronics & Technology Accessories,"Accessories for electronic devices, gadgets, and tech products."
97,Outdoor Living & Entertainment Essentials,"Essential products for outdoor living, entertainment, and relaxation."
98,Smart Home Devices & Accessories,"Devices and accessories for smart home automation and connectivity."
99,Travel & Luggage Accessories,"Accessories and essentials for travel, luggage, and packing."
100,Home Office Furniture & Accessories,"Furniture and accessories specifically designed for home office use."
